id,creature_id,name,text,sort_order
1,1,Amphibious,The aboleth can breathe air and water.,0
2,1,Mucous Cloud,"While underwater, the aboleth is surrounded by transformative mucus. A creature that touches the aboleth or that hits it with a melee attack while within 5 feet of it must make a DC 14 Constitution saving throw. On a failure, the creature is diseased for 1d4 hours. The diseased creature can breathe only underwater.",1
3,1,Probing Telepathy,"If a creature communicates telepathically with the aboleth, the aboleth learns the creature's greatest desires if the aboleth can see the creature.",2
4,3,Amphibious,The dragon can breathe air and water.,0
5,3,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",1
6,4,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0
7,5,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0
8,6,Amphibious,The dragon can breathe air and water.,0
9,6,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",1
10,7,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0
11,8,Amphibious,The dragon can breathe air and water.,0
12,8,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",1
13,9,Amphibious,The dragon can breathe air and water.,0
14,9,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",1
15,10,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0
16,11,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0
17,12,Ice Walk,"The dragon can move across and climb icy surfaces without needing to make an ability check. Additionally, 3 composed of ice or snow doesn't cost it extra movement.",0
18,12,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",1
19,13,Air Form,The elemental can enter a hostile creature's space and stop there. It can move through a space as narrow as 1 inch wide without squeezing.,0
20,14,Amphibious,The dragon can breathe air and water.,0
21,14,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",1
22,15,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0
23,16,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0
24,17,Amphibious,The dragon can breathe air and water.,0
25,17,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",1
26,18,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0
27,19,Amphibious,The dragon can breathe air and water.,0
28,19,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",1
29,20,Amphibious,The dragon can breathe air and water.,0
30,20,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",1
31,21,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0
32,22,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0
