id,creature_id,name,text,sort_order,kind
1,1,Multiattack,The aboleth makes three tentacle attacks.,0,action
2,1,Tentacle,"Melee Weapon Attack: +9 to hit, reach 10 ft., one target. 12 (2d6 + 5) bludgeoning damage. If the target is a creature, it must succeed on a DC 14 Constitution saving throw or become diseased. The disease has no effect for 1 minute and can be removed by any magic that cures disease. After 1 minute, the diseased creature's skin becomes translucent and slimy, the creature can't regain hit points unless it is underwater, and the disease can be removed only by heal or another disease-curing spell of 6th level or higher. When the creature is outside a body of water, it takes 6 (1d12) acid damage every 10 minutes unless moisture is applied to the skin before 10 minutes have passed.",1,action
3,1,Tail,"Melee Weapon Attack: +9 to hit, reach 10 ft., one target. 15 (3d6 + 5) bludgeoning damage.",2,action
4,1,Enslave (3/Day),"The aboleth targets one creature it can see within 30 feet of it. The target must succeed on a DC 14 Wisdom saving throw or be magically charmed by the aboleth until the aboleth dies or until it is on a different plane of existence from the target. The charmed target is under the aboleth's control and can't take reactions, and the aboleth and the target can communicate telepathically with each other over any distance.
Whenever the charmed target takes damage, the target can repeat the saving throw. On a success, the effect ends. No more than once every 24 hours, the target can also repeat the saving throw when it is at least 1 mile away from the aboleth.",3,action
5,1,Detect,The aboleth makes a Wisdom (Perception) check.,0,legendary
6,1,Tail Swipe,The aboleth makes one tail attack.,1,legendary
7,1,Psychic Drain (Costs 2 Actions),"One creature charmed by the aboleth takes 10 (3d6) psychic damage, and the aboleth regains hit points equal to the damage the creature takes.",2,legendary
8,2,Club,"Melee Weapon Attack: +2 to hit, reach 5 ft., one target. 2 (1d4) bludgeoning damage.",0,action
9,3,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,0,action
10,3,Bite,"Melee Weapon Attack: +11 to hit, reach 10 ft., one target. 17 (2d10 + 6) piercing damage plus 4 (1d8) acid damage.",1,action
11,3,Claw,"Melee Weapon Attack: +11 to hit, reach 5 ft., one target. 13 (2d6 + 6) slashing damage.",2,action
12,3,Tail,"Melee Weapon Attack: +11 to hit, reach 15 ft., one target. 15 (2d8 + 6) bludgeoning damage.",3,action
13,3,Frightful Presence,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.",4,action
14,3,Acid Breath {@recharge 5},"The dragon exhales acid in a 60-foot line that is 5 feet wide. Each creature in that line must make a DC 18 Dexterity saving throw, taking 54 (12d8) acid damage on a failed save, or half as much damage on a successful one.",5,action
15,3,Detect,The dragon makes a Wisdom (Perception) check.,0,legendary
16,3,Tail Attack,The dragon makes a tail attack.,1,legendary
17,3,Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,2,legendary
18,4,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,0,action
19,4,Bite,"Melee Weapon Attack: +12 to hit, reach 10 ft., one target. 18 (2d10 + 7) piercing damage plus 5 (1d10) lightning damage.",1,action
20,4,Claw,"Melee Weapon Attack: +12 to hit, reach 5 ft., one target. 14 (2d6 + 7) slashing damage.",2,action
21,4,Tail,"Melee Weapon Attack: +12 to hit, reach 15 ft., one target. 16 (2d8 + 7) bludgeoning damage.",3,action
